ID,PAINTING,mean_fixations_small,mean_saccades_small,mean_diametro_small,min_fixations_small,min_saccades_small,min_diametro_small,max_fixations_small,max_saccades_small,max_diametro_small,std_fixations_small,std_saccades_small,std_diametro_small,num_diff_nonzero_fixations_small,num_diff_nonzero_saccades_small,mean_fixations_medium,mean_saccades_medium,mean_diametro_medium,min_fixations_medium,min_saccades_medium,min_diametro_medium,max_fixations_medium,max_saccades_medium,max_diametro_medium,std_fixations_medium,std_saccades_medium,std_diametro_medium,num_diff_nonzero_fixations_medium,num_diff_nonzero_saccades_medium,mean_fixations_full,mean_saccades_full,mean_diametro_full,min_fixations_full,min_saccades_full,min_diametro_full,max_fixations_full,max_saccades_full,max_diametro_full,std_fixations_full,std_saccades_full,std_diametro_full,num_diff_nonzero_fixations_full,num_diff_nonzero_saccades_full,voto,Binary
1,1,533.025280043682,160.42317793441,40.6766029675957,236.2,233.0625,39.5341985225677,1303.125,414.0625,48.2366292476654,506.67168557446,154.810450028215,12.2039614411668,5.3125,6.375,466.288863046189,154.091697498191,41.1098738670813,167,230.714285714286,35.2496103559222,1399.42857142857,467,49.9439811706543,498.642013993814,155.053286296388,11.3156939331477,12.4285714285714,11.8571428571429,581.824299924494,162.670562358426,40.5011498010197,145,218,27.9944114685059,2364,621,56.0986213684082,651.847840213394,161.042346663017,13.3447371802496,48,35,25,0
1,2,959.141260932561,118.25676526607,41.7180827526415,543.625,224.375,37.5892332792282,1859.5,399.9375,54.5250725746155,665.558165300873,147.879892029832,12.0773394201665,4.25,5.75,902.667691251947,121.28280228335,41.0525651111909,222.285714285714,217.714285714286,34.1878320149013,2008,464.714285714286,69.2381439208984,704.834455039027,151.721736554253,13.3439658145547,9.42857142857143,10.5714285714286,992.573879608388,111.486703932276,41.858728701319,154,201,12.4250001907349,2630,565,80.9653625488281,829.541125484758,150.093935806377,12.5884512589965,40,28,33,1
1,4,618.470264278188,157.264000013172,38.5253709076975,257.75,232.3125,33.263347029686,1465.625,430.75,48.8541882038116,572.244748227147,160.820569917195,14.1410599847975,5.25,7.25,586.947663334894,151.624797700784,37.5579253312795,158,230.428571428571,27.7320711953299,1762.57142857143,517.714285714286,52.5622722080776,617.179403085171,165.703818359298,15.1348119066112,12.5714285714286,14.4285714285714,638.597208310446,165.2979740864,39.6489390822781,113,194,12.9177198410034,2211,653,55.2772331237793,685.965107676526,171.631851595567,14.0203809258574,51,37,37,1
1,6,388.826547049814,172.173720417402,38.2259770588137,210.25,233.5,33.6780943274498,1061.0625,413.25,52.7661347389221,406.022885790394,163.285420336949,14.1908277970006,5.875,7.125,367.50865889109,169.232012088573,38.2346344908021,189.142857142857,230.571428571429,25.3919724055699,1326.85714285714,456.571428571429,67.7910543169294,432.061478224777,166.385374785223,15.0646281550641,13.5714285714286,14.1428571428571,388.690876301336,178.426887449791,37.9532788375097,137,218,13.6387643814087,1686,637,78.8199768066406,481.533645631482,177.598579147898,15.6886811909199,52,38,18,0
1,7,416.68217049919,191.483546789421,37.8502559094126,193.333333333333,235,34.2040603160858,1107.5625,523.5625,51.7241039276123,423.24574446694,192.876175158222,12.5389176001877,5.5,7.25,376.491654212052,190.165876287732,37.8928516922822,163,235.142857142857,30.2453239985875,1346.71428571429,725.142857142857,53.2251112801688,425.570926851741,210.489048267358,12.0606070507075,13.1428571428571,13.4285714285714,460.822311201549,185.687255899439,38.1165090528549,154,226,20.9951629638672,1824,1106,76.0085296630859,534.620834145876,216.905086524272,13.7728322937102,53,33,24,0
1,9,817.234557351068,173.284911382994,38.4639959517003,299.0625,232.375,35.139955163002,1872.9375,489.3125,48.5607528686523,713.441102221811,184.31998655694,12.9562500085606,4.875,6.625,709.218654976494,181.094604981708,38.2773811656839,190.285714285714,223.142857142857,32.3417660849435,2092.14285714286,642,52.5120359148298,729.173587533253,198.241673223124,13.8791282561131,11.2857142857143,13.5714285714286,846.437280572235,178.70531876497,39.0896155798447,146,209,13.7631406784058,3115,928,72.7634429931641,963.058235761069,211.717024318373,13.2071460497084,45,40,44,1
1,10,456.183629772571,173.716061332164,36.2245147046707,188.5625,243.4375,38.759513258934,1127.125,464.25,51.0882768630981,454.14162028114,171.964718813717,13.5920105853023,5.6875,7.1875,410.832702979903,173.858521575936,34.1255266331976,177.571428571429,255.571428571429,34.8553336007254,1317.57142857143,543.857142857143,55.0279742649623,460.355504135899,182.280248882046,14.8838395986854,12.8571428571429,12.4285714285714,465.440175847249,177.330533775139,37.7099973864687,137,225,27.0237522125244,1767,984,72.9048080444336,535.453057828781,192.938922359124,14.4395061718484,52,37,27,1
1,11,566.184432183987,154.858106110024,36.9401309892231,244.3125,230.5625,37.1416374444962,1280.5,455.5625,49.6305441856384,493.856822187099,162.446849977107,15.2934113135976,5.5,6.5,501.743626214836,167.285246519357,34.7717489104225,154.571428571429,229.571428571429,30.7630231039865,1422.42857142857,561.714285714286,53.1781174795968,481.380476352252,172.352893376466,16.6498551738579,13,12.2857142857143,578.39456653855,152.168259912618,38.692799779989,145,210,14.4151620864868,2244,734,56.8946571350098,650.316489236261,174.058998194125,15.2624342315554,52,31,25,0
1,13,447.88312330636,188.054417371946,38.8221654820935,232.5625,228.4375,37.9105514883995,1218.5,516.9375,47.3200056552887,458.591535923068,186.199134723156,13.7341918686689,5.5625,7.9375,429.403201281604,182.1566657332,37.7933574221289,186.714285714286,229.285714285714,34.5477418899536,1689,597.142857142857,48.3163473946708,561.049127313839,185.401735796473,14.9158969667522,11.8571428571429,14.7142857142857,478.735297015072,187.143466981907,39.1558488053461,153,210,13.6418752670288,2736,1113,51.0096473693848,689.53180274286,206.519385378207,13.7582529357421,47,37,20,0
1,14,613.497544515534,178.172928499544,41.1007101837765,261.125,231.5,27.6609099507332,1547.0625,513.5,179.734192609787,621.099653470225,179.415283278188,31.6410985441563,5.625,6.4375,657.424524996225,174.084338200255,38.8812446437611,350.285714285714,230.571428571429,22.3409553255354,1771.71428571429,622.285714285714,199.899788992746,687.779875220141,185.747075762707,28.6328432876628,12.2857142857143,11.8571428571429,620.79378057991,182.072045447082,40.8884566739577,145,210,10.3760080337524,2437,758,1098.71337890625,722.379342375492,190.494802195886,44.8170417226123,44,36,14,0
1,15,1226.64142607293,148.452118970511,22.8760964654448,433.125,267.25,26.3395270109177,2359.3125,456.4375,58.7627899646759,867.661234326974,166.067859428421,19.0459407578265,4.875,5.4375,1254.72738416597,137.455092915552,22.313938771253,380.285714285714,259.714285714286,21.6360898699079,3542.57142857143,496.857142857143,84.9072102137974,1277.74135923944,165.044216565232,19.656597179701,10.2857142857143,11.5714285714286,1270.76980242007,147.564968739398,23.5164926563411,137,194,15.3604373931885,5624,718,157.17610168457,1923.97134977957,191.475870727942,20.5508920730681,40,36,40,1
1,16,460.221847299631,188.765605946259,39.563307991246,210.6875,222.8125,34.3162753582001,1271.3125,519.8125,52.4717407226563,480.035531143504,190.385960615935,15.8429666190721,5.8125,7.4375,468.204673123113,174.760323362509,38.3827372311924,263.714285714286,216.285714285714,30.3765141623361,1757.85714285714,570.714285714286,64.0745070321219,633.61747788038,180.383300261235,16.7932025905119,13.2857142857143,14.2857142857143,474.395064564294,188.977669122352,41.1399540134217,129,201,19.7853736877441,3115,1073,86.2610702514649,753.344461249457,210.329316001564,15.2030988027455,45,45,24,0
1,18,188.04389489451,223.886572327542,38.3045880468171,176.4375,223.9375,28.8639763593674,657.5625,530,52.056164264679,246.328790805561,183.413103155425,16.4921429693966,6,8.375,177.472855833574,223.802519125368,38.7465407647641,170.428571428571,219,25.8837616784232,695.285714285714,588,55.0444090706962,236.560285260061,182.435234076647,16.792599784796,13.1428571428571,15.2857142857143,193.781248973424,221.836766203476,38.8713222946931,137,218,14.2963075637817,928,743,64.3305053710938,263.080506086394,194.020866686262,16.7296680039462,40,41,25,0
1,20,2703.2884125,149.805925,15.217440762593,2638,257,28.255107998848,4748.5,475.125,46.5984663963318,1317.96702534014,172.560436172594,16.9604561311987,3.4375,4.75,2302.3056485895,154.838821954996,15.4491707956021,147.833333333333,235.333333333333,25.9967109135219,4556.57142857143,712.428571428571,52.497131892613,2053.47632456603,211.423143285259,18.2110332242585,8.71428571428571,10.4285714285714,2783.38908703581,166.221777512386,15.6062015434452,138,218,21.4262733459473,11966,1412,64.9014663696289,4569.62133537475,273.187378073209,19.4753125439517,30,28,36,1
1,21,290.270346283784,204.234789189189,41.5628450259022,152.375,219.875,31.8241492509842,940.6875,535.5625,51.2640309333801,353.700755929016,182.772731436214,12.5810892751745,6.1875,8.125,276.706519534725,205.750702595181,39.9389865777831,139.285714285714,214.428571428571,25.0055765424456,1150.42857142857,591.142857142857,54.7653372628348,371.778520542148,186.857106539398,14.0830241808244,13.8571428571429,15.7142857142857,294.567825383994,194.377623282134,41.7282332632979,105,209,17.7991390228271,1533,774,74.9004364013672,413.759197533041,187.67476580796,13.5150569720603,41,40,25,0
1,22,8208.06898348765,13.9730470679012,7.26954214585331,7561.3125,319,23.6338515281677,9699.625,219.3125,39.8465801477432,1626.03250480465,52.7092105410441,12.4179565015301,1.5625,0.6875,7654.01761538909,17.792829319827,7.25096818086118,5270.28571428571,316.714285714286,21.4421730041504,11371.8571428571,321.428571428571,44.5458695547921,3497.97211853745,71.1982572833749,13.4123228370998,2.71428571428571,1.85714285714286,8247.72134274271,14.5234280628139,7.45457593280124,2622,314,13.8490161895752,15896,323,50.836971282959,4922.88512301121,66.4125956522835,13.8056145982357,9,4,43,1
1,23,17264.85355,2.4262,1.62689905467107,23618,311,23.4371528625488,17896,38.875,25.203867316246,1136.95011696048,9.4045539653702,4.99867118318287,0.8125,0.125,15164.6693714286,1.84853333333333,1.69887719649007,23326,311,21.274632136027,17078.5714285714,88.8571428571429,28.7010241917201,2299.84260560944,12.6823557335984,5.39876190013536,0.857142857142857,0.285714285714286,18390.263785346,3.18723110775395,1.87814912608411,22158,307,10.8615741729736,25078,315,44.0164337158203,9972.35853454555,31.3275264767317,7.30595694520769,2,2,13,0
1,45,16163.0114840959,7.2489026385863,1.66909168207219,15893.9375,332.6,23.8939657211304,17257.2352941176,100.117647058824,31.4172491185805,1729.55678062676,25.2406052672399,6.18107079297782,1.17647058823529,0.352941176470588,16213.1391086743,12.3107335566206,1.97202258877366,11359,332.333333333333,18.5589041028704,20640.5714285714,296,39.0451744624547,4907.03499389001,56.4991708589767,7.22163111987793,2,1.28571428571429,17085.9015726179,8.52639531298181,1.87824257333963,146,291,11.4718322753906,26047,379,48.7962493896484,7960.70063136317,52.8368931082708,7.28856578720718,5,5,0,0
1,47,10182.3140625,22.5033,13.7387749142071,8775,298.7,27.3530794382095,12532.9375,208.375,51.8048293590546,1960.54787100176,61.306140646948,16.7436392017346,1.75,1.0625,9617.49953682107,19.7431266197761,11.9297887661777,2539.83333333333,283.833333333333,26.1737215859549,14976.4285714286,295.142857142857,54.360954284668,4555.09762671171,68.0438566814709,16.7400793699229,3.28571428571429,2.71428571428571,10662.0581960202,21.0728337879057,13.3796219270513,306,234,22.9876461029053,22739,387,76.8559646606445,9487.25298059201,79.5017567685414,17.9845121798029,12,8,14,0
2,1,808.562160749732,159.284813598422,42.0364105026057,376.75,266.25,46.5262453556061,1780.875,474.875,60.0970582962036,644.643600825758,180.766641833664,17.4687748218564,4.875,6,758.8007016694,175.773461565353,40.5318706181479,200.428571428571,311,44.4149616786412,2223.71428571429,620.142857142857,63.1323247637068,817.731447114671,208.863331600875,19.4214745402394,11.1428571428571,10.4285714285714,827.128669356161,146.032536324576,41.0705574902957,153,217,42.7380142211914,3333,831,75.6345825195313,970.954856163129,180.684992617064,19.9835676718052,43,26,24,0
2,2,531.113411336821,161.372870521704,44.2679636444498,205.5,219.375,41.4910859465599,1217.5,440.25,57.301732301712,462.02886794894,162.205486417295,19.7030018919121,5.6875,7.125,529.894048368478,159.323697680456,45.4946692852315,158.714285714286,204,34.4239372525896,1503.14285714286,512.857142857143,58.0683364868164,526.140280669909,160.840620769798,18.9418791033035,13.5714285714286,12.5714285714286,548.905656037981,168.384604011631,44.9351175098232,153,161,15.5076017379761,1928,758,63.0943298339844,574.600064780509,179.365634059618,19.7320091983899,50,40,27,1
2,4,395.136409482759,137.515187181018,40.1390125633385,237.6,234.4375,46.2045791149139,1060,407.375,56.2819473743439,406.976977457025,149.062613460375,19.174227695396,5.625,6.125,331.331220328497,123.933766389101,40.2549035649963,143.666666666667,228.285714285714,43.8743406023298,1199.85714285714,449.571428571429,58.6922918047224,396.230640137515,144.352053144969,18.4982233871023,13,12,386.381815197768,149.006893156081,39.0222927553048,121,210,39.9670486450195,1872,581,71.7733306884766,469.941677463447,163.206542065737,21.3782389964332,53,32,19,0
2,6,332.29778548604,177.332349097067,45.8417776099336,185.75,234.4375,37.7711646556854,829.3125,438.0625,62.6446115970612,334.356551616846,164.797860446279,17.4522784183557,5.9375,7.3125,334.079856972647,160.278495416856,45.1364184867498,189.285714285714,231.428571428571,33.0701122283936,956,456.142857142857,67.7176339285714,354.68640567919,161.491408871204,19.0066329216982,14,13.2857142857143,339.706527089555,182.650346208119,45.853812711684,129,218,16.2783546447754,1219,661,75.0937728881836,370.027302896324,177.352483682455,17.5155171173296,58,38,27,1
2,7,351.740190549412,157.753308852156,38.1709099578534,175.4375,227.8125,38.7129108905792,1011.9375,416.125,54.2158455848694,381.601351578726,158.463732847353,18.2623433866302,5.8125,7.0625,347.326520250217,152.541211815168,38.3880303334803,146.285714285714,215.285714285714,34.2858178274972,1241.28571428571,466.857142857143,57.3564077104841,393.284264646218,156.33395988997,18.6522374257133,13,13.5714285714286,399.034006236665,159.906023305432,39.0127028444141,105,193,25.6669425964355,1630,597,63.7724075317383,465.321198119402,164.09780281446,18.5077309017557,52,34,30,1
2,9,614.895450092054,159.158742882922,44.5249504128349,283.9375,221.9375,44.3789855241776,1446.5625,448.75,55.4792447090149,557.560631880825,164.662308017284,15.2969623000974,5.5625,7.0625,569.230047518643,163.515716737597,44.6199298123931,272,205.285714285714,39.1070450374058,1798.57142857143,462.285714285714,58.5483899797712,562.22263506456,166.21456928591,16.0805673553172,13.2857142857143,13.5714285714286,642.58248251863,163.863661731394,43.9415482436557,145,170,23.8176441192627,2728,525,59.9582099914551,795.999616337465,170.947728302239,16.7345724816459,49,38,41,1
2,10,633.070416966649,164.471972941855,39.8449168681346,252.0625,239.0625,37.4181219339371,1488.8125,449.25,55.8693239688873,603.35550618567,170.185561732546,18.3455985388905,5.375,6.9375,629.31106633746,171.240625418012,40.2074761223755,168,251.285714285714,30.9772946493966,1866.28571428571,510.428571428571,58.6382860456194,668.300535283165,180.846710178724,19.034410018375,12.5714285714286,13.1428571428571,632.730400775589,161.167458139573,39.0626549203708,137,202,10.8171586990356,2719,597,64.1648025512695,843.001163546405,178.196962546488,20.9540813575762,53,37,43,1
2,11,517.309610560574,153.523628958555,38.8606383029949,288.9375,228.9375,39.7951412200928,1336.9375,453,57.1738097667694,520.338189636492,169.260786563429,20.9813169441563,5.4375,6.6875,536.481909274034,134.097850937818,36.8694706994977,312.428571428571,223.571428571429,34.4127537863595,1744.14285714286,494.571428571429,58.9173932756697,565.334863324617,162.562947674497,23.0962064084844,12.2857142857143,12.7142857142857,480.111437897935,158.563524126563,37.8863225990336,153,210,10.7411670684814,1953,750,62.9513244628906,591.518482235019,184.982847443486,22.585230717426,43,37,34,1
2,13,674.822512880178,137.0081844258,35.9148498780064,226.8125,233,35.6087601184845,1609.3125,395.5625,58.6959331035614,608.088322050264,153.424898101548,21.7129432027731,5.4375,6.1875,636.931441934859,144.72211816492,36.5260143358306,153,231.714285714286,24.5030721936907,1972.28571428571,465.714285714286,65.1794013977051,699.743892486081,161.490174734672,21.8541212527289,12.5714285714286,11.8571428571429,688.730773579724,133.246902611982,36.2689490899912,129,226,11.9192333221436,2792,565,85.6438903808594,861.693205253109,160.310987523612,22.6669829023432,53,31,17,0
2,14,740.842632690316,164.733725608493,44.619669062417,219.875,236.5,47.0713879466057,1788.25,466.875,60.6743609905243,628.581004640575,170.554597903661,20.7064153690279,6.25,6.375,721.758182440109,151.113712232945,43.9205310290357,152,225.714285714286,37.8772296905518,2264.14285714286,487.428571428571,62.3762561253139,916.191633089119,165.314211021052,21.437605460923,14.2857142857143,13,756.953609662366,161.525859424198,44.2712599894665,121,217,14.0475645065308,5326,742,65.0835952758789,1463.21451176489,177.952537833993,21.9584112177421,48,36,12,0
2,15,613.161867250865,126.185998000424,31.362725580836,182.0625,223.5,44.1436867713928,1481.625,390.375,55.2302577495575,579.275517041599,145.937964954455,22.5003456230424,6.25,5.5625,586.526717274123,133.502762934107,32.5427004383726,138.142857142857,218,41.1724575587681,1776.28571428571,499,58.9881041390555,613.832307972774,152.55448016171,22.9884606600415,14.4285714285714,10.1428571428571,624.716404686116,125.100941817347,30.6617036934689,105,202,38.5684013366699,2477,702,64.2183151245117,669.345012991248,159.4984432548,23.8288574382958,55,28,37,1
2,16,446.434150941693,130.084402631579,34.4660806494978,208.375,220.9375,42.797541975975,1114.5,382.875,57.8839499950409,433.070631764654,148.533911105549,22.980607564518,5.3125,6.25,430.259811757622,120.921496926014,31.9384090070569,160.428571428571,217.857142857143,39.0212625776018,1459.14285714286,419.714285714286,58.6913092476981,485.476317782386,148.223575806711,23.2206522065418,12.7142857142857,11.7142857142857,473.086893344958,130.880364235203,35.4081640783358,138,202,28.1792392730713,2186,484,69.5050354003906,568.043791879528,156.106497536297,24.4834620651917,51,32,26,1
2,18,531.521390319891,132.39968979403,39.5443188888979,238.8125,217.4375,39.3863275051117,1248.1875,399.5625,55.3452711105347,510.695954823455,149.604140731874,20.0922234702587,5.3125,6,573.088090215206,125.327181137877,41.3572990767386,267.142857142857,201.714285714286,31.5671424865723,1679.42857142857,494.571428571429,56.8906991141183,598.942708731996,150.236529352679,19.3853375124806,12.4285714285714,11.7142857142857,508.602869242638,138.945799546962,39.8212870389672,145,170,17.0810947418213,2219,621,60.9991455078125,667.339747012632,160.637872174523,20.7916060510722,44,29,36,1
2,20,734.635591111694,130.024317848715,32.7382281704925,211.5625,223,41.4454432725906,1578.9375,360.625,54.9767754077911,676.547640420322,142.208818263729,20.0705598691474,5.6875,6.1875,767.433733715713,126.845293383177,30.9913606207821,160.571428571429,214.571428571429,36.8045161111014,2071.42857142857,427.857142857143,58.9023497445243,848.411422696642,145.922414550592,21.4579394839884,12.8571428571429,11.5714285714286,747.512494548274,131.205356421729,33.6433936360367,146,186,16.0827770233154,4647,533,76.817008972168,1215.49211126476,149.682190936625,22.0988567891521,53,30,16,0
2,21,507.840024586959,130.010181595564,38.2960372416694,307.6875,225.375,41.4224835634232,1021.125,396.3125,61.9126577377319,388.627093388097,150.917615555133,22.2708824413645,6.0625,6.1875,591.711438516295,125.737671441361,40.5690733948586,353.714285714286,220,29.3393854413714,1331.28571428571,472.285714285714,66.8278972080776,436.25674771239,152.729686529759,20.6530459247544,14.1428571428571,11.7142857142857,449.864500246184,136.562481536189,37.9073047370917,145,202,16.1520671844482,1549,645,81.2340087890625,455.775571293854,159.576065710486,23.9672585790888,54,31,37,1
2,22,939.509817962295,121.405187230511,25.6182892011654,278.25,243.5,38.1597201228142,1869.0625,398.5,49.5105271339417,727.747449684613,149.245654217461,19.5252751073775,5.0625,5.75,870.779305930878,126.439249041161,24.9610042533803,162.428571428571,242,30.3511169978551,2154.57142857143,469.285714285714,52.1842863900321,793.512895325972,161.325678615555,22.2125858303548,12,10.7142857142857,951.104013910077,120.237225858308,27.0542768908871,154,210,10.3498048782349,2873,646,55.3389129638672,922.26336196661,158.189774151704,22.2454817356854,49,27,33,1
2,23,552.675455108139,179.575068360504,36.7182241339112,262.75,221,33.4453412294388,1304.25,490.875,45.2421741485596,511.373577224582,188.552334204537,12.3014730996597,5.8125,6.875,523.32820994162,174.022822933944,37.4878635332856,222.571428571429,206.571428571429,31.837716783796,1597.85714285714,570.714285714286,46.9409076145717,559.111650306518,186.509977085401,12.0526308877981,13.1428571428571,13.4285714285714,557.261357844024,179.30187283161,36.04896804091,145,170,16.2080059051514,1897,1146,49.2312965393066,616.056436241668,208.334907186242,14.0707176501047,48,33,17,0
2,45,2269.51926941444,118.094715035437,11.3865301710842,1671.125,242.642857142857,26.6858955792018,3444,464.5625,35.9323284626007,1073.64416766083,172.715718337908,14.588281885347,4.375,4.375,2658.75422736262,102.359288179213,10.476372631108,1295.57142857143,236.428571428571,20.0379264014108,5328,560.428571428571,42.2145456586565,1879.13999310946,173.818523346401,15.5107722432829,10.5714285714286,10,2154.27670219018,115.620983752363,11.3903302653492,145,202,12.2157773971558,7972,1146,45.31787109375,2647.31415115024,212.889845815744,17.4031552590381,45,29,0,0
