ID,PAINTING,PUNTI_NEL_QUADRO,FIXATIONS,mean_diam_pupilla,min_diam_pupilla,max_diam_pupilla,std_diam_pupilla,diff_max_quadro_blank,max_similar_fixations,max_durata_similar_fixations,n_aree_interesse,voto
118,18,1333,57,44.5316008971539,11.6774018276304,53.4782052573616,6.83572616840223,-0.511451256394686,25,78000,4,11
118,20,1367,55,43.1691052015283,32.6087456749948,52.1784199177819,6.22956769646786,-1.8112365959743852,32,91250,2,7
118,21,1322,32,43.1786032160115,37.1444027791831,52.1081514152593,6.87460793755742,-1.8815050984969872,9,23000,5,44
118,22,1311,44,38.7098716460907,31.4092290479228,47.0054260443597,5.12967042658601,-6.984230469396586,33,140000,2,30
118,23,1299,44,31.2036924764622,25.3652319184069,42.2301562283975,5.03090998689698,-11.75950028535879,36,145000,2,23
118,47,1330,42,41.5819018398667,32.8915828206823,49.8960800826285,6.03401652844104,-4.0935764311277865,18,66750,4,38
119,1,759,22,31.1322818581583,11.4990960369224,50.4076135205164,17.5893643291647,-0.575726375777613,19,64500,2,39
119,2,979,35,27.4037455192814,10.5435111239933,49.9593869302571,22.0083673714713,-1.0239529660369158,23,133250,2,33
119,4,977,33,26.5926335498443,11.5154790852274,49.1001931131727,20.4257504003114,-1.883146783121312,21,130500,3,43
119,6,983,24,27.6862117716771,12.6613871629986,46.2413628704022,19.0546118966265,-4.7419770258918135,13,152750,2,39
119,7,808,33,33.9732065969839,13.4956842476973,47.573816619281,14.5383577168845,-3.4095232770130157,29,81500,2,42
119,9,962,29,26.1164036041868,10.68782417172,47.9125283696546,19.6492220600523,-3.0708115266394103,17,122000,2,32
119,10,804,13,26.5295285675192,13.1227645467521,48.8844490988829,18.406814402114,-2.098890797411116,6,147500,3,37
119,11,798,33,36.3118586876758,14.3399480713808,51.5655523468767,17.4507791638351,0.5822124505826878,29,87500,2,36
119,13,990,22,29.2172321935955,14.6691011025183,47.9526271145757,19.1364616240609,-3.0307127817183144,13,161000,3,25
119,14,988,22,31.4710040513964,12.7991018902157,50.2176286600356,20.2886715118994,-0.7657112362584115,14,157500,3,6
119,15,971,18,45.9622045282912,43.3302357924004,49.6798419551776,6.34375010103286,-1.3034979411164116,9,24000,3,16
119,16,805,28,39.4676871095748,11.938147252592,53.1999183179009,19.5257069751968,2.21657842160689,11,31750,5,0
119,18,760,25,35.7543377747198,14.2718944476653,51.9117239649139,19.2262679050666,0.9283840686198844,16,75000,3,45
119,20,760,22,34.0035886737533,14.0626010853415,51.4836828487372,19.5272342325863,0.5003429524431908,11,31250,3,8
119,21,990,33,27.4240635600859,10.4868926894035,51.0699136741162,22.1174442742301,0.0865737778221884,19,108750,2,33
119,22,989,29,23.1938991804249,10.7423524425025,44.6476980751996,18.5962404609346,-6.335641821094413,19,133250,2,30
119,23,982,20,23.5797943651104,13.1982212000457,38.9449236095799,15.2223677288207,-12.03841628671411,12,168000,2,26
119,47,885,27,36.894010969503,10.9771032335687,48.0010322709761,13.2686744015707,-2.9823076253179157,8,19000,5,8
121,2,659,11,59.9135246212018,50.5235536973479,65.1610468115326,8.99632425198659,6.413518484205625,5,14250,3,22
121,11,879,9,47.3760602761255,16.0186291075282,65.9313665709905,24.163768638388,7.18383824366353,6,17500,2,12
121,16,655,9,57.4862512963158,11.4750866286194,75.2389426106814,26.9005119713285,16.49141428335443,5,24750,2,39
121,23,1088,10,47.4690578319009,42.876119088796,64.2640618119537,22.0878980233815,5.51653348462672,7,19750,2,18
122,1,1292,59,46.7867005546527,37.8259557233201,58.8266241147983,7.20721528585435,-1.101457020992278,38,129750,2,14
122,2,1296,68,48.1161391393743,37.7758023577623,60.4607902329511,8.94156492041435,0.5327090971605202,39,127500,2,27
122,4,1258,45,46.8793541842294,36.6111822878081,56.5377394740141,6.03701716642354,-3.390341661776475,12,28750,6,35
122,6,1283,57,45.2595397040909,31.1584427881685,57.3356122536849,6.61588906964003,-2.5924688821056776,37,111250,2,40
122,7,1275,43,43.7204595904644,32.2978100369327,56.7182844765436,6.49203672118742,-3.209796659246976,25,74000,2,17
122,9,1259,43,44.5354148156816,30.5393409016702,56.2907953499018,7.61186371972302,-3.6372857858887775,20,61500,3,47
122,10,1227,45,46.5722619794529,33.6207234710357,57.9391688133788,6.77372252960616,-1.9889123224117784,14,52500,6,45
122,11,1269,50,47.9390770725948,38.5040795490444,59.0536469143866,6.65583903446619,-0.8744342214039804,40,130500,2,26
122,13,1313,54,46.9706285585775,34.4313044358539,59.8273465973116,7.69755087714021,-0.1007345384789744,35,131250,2,7
122,14,1152,44,50.5822573339176,38.8136788597023,60.7446302387415,6.71164570227174,0.8165491029509226,23,81750,4,8
122,15,1339,53,46.5115496816122,34.3257366586918,58.7034091825749,6.4054032467539,-1.224671953215676,31,96000,2,34
122,16,1255,53,52.2950725963428,42.9444356996425,63.0198852418096,7.06039273891253,3.091804106019019,27,93250,5,6
122,18,1207,57,52.6179046240237,40.313311299045,62.5671323276546,6.46356757433478,2.63905119186402,45,125000,2,30
122,20,1333,49,45.0010220096848,28.2624575469706,61.3743319523136,7.7762200062331,1.446250816523019,14,42750,6,35
122,21,1313,49,51.5259611341978,42.0632540221265,61.5533303286227,6.81992663393863,1.625249192832122,25,63500,2,24
122,22,1166,33,42.5780322664421,32.9184379251003,52.9025708614851,5.65332308855313,-7.025510274305475,14,49250,5,31
122,23,1292,60,35.8364846563195,26.5073941812062,47.1808511288511,5.52274533657992,-12.747230006939477,12,33000,6,10
122,47,1199,47,47.3700836498782,33.0009253956708,59.1322500836566,6.97267311712594,-0.7958310521339769,20,62000,3,26
124,1,1260,28,52.5934727740856,35.5427679694599,61.9735366761616,4.95337454341254,-1.2195109857385873,20,61500,2,40
124,2,1262,20,57.5574953036944,14.9159152702072,64.9771941241445,5.66010155501252,1.7841464622443155,8,44500,4,18
124,4,1159,24,53.1501726230363,13.4659287162518,61.1301924759784,7.66212747718199,-2.0628551859217907,12,47250,3,24
124,6,1161,12,56.8027596374761,14.9669734518321,65.5162741348891,6.68095722973471,2.323226472988914,6,18750,2,39
124,7,1278,23,50.0752113693357,13.0843712431088,59.932134481125,7.19496077655413,-3.2609131807751908,15,61750,2,10
124,9,1248,16,54.0542098384589,16.310513900946,61.7086216527891,4.47030806047125,-1.4844260091110897,6,24750,4,47
